OBJECTID,LEVL1_2_NO,LEVL1_NAME,LEVL2_NAME,Shape_Area,LIC_ID_2,path,LIC_HOLDER,ORG,ORG_ID,ORG_CONTAC,ORG_CONT_1,ORG_CONT_2,LIC_HOLD_1,LIC_HOLD_2
58,07-01,Northumberland Strait Composite,Black River Composite,420738571.382096052169800,"5",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
8,01-10,Saint John River Basin,Jemseg River,3949929722.395956039428711,"6",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
39,03-01,Restigouche River Basin,Walker Brook Composite,267381777.313745856285095,"1",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
49,05-02,Nepisiguit River Basin,Pabineau River Composite,794494060.000045537948608,"2",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
1,01-01,Saint John River Basin,Grand Bay Composite,244039571.647899448871613,"7",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
9,01-13,Saint John River Basin,Baker Brook Composite,105589178.461047619581223,"8",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
20,01-27,Saint John River Basin,Bulls Creek Composite,327197221.740449726581573,"9",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
27,01-36,Saint John River Basin,Tobique River,4330373761.242981910705566,"10",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
36,02-01,Miramichi River Basin,Miramichi Bay,1663968142.143658638000488,"3",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
37,02-02,Miramichi River Basin,Bartibog River,514428239.325743079185486,"4",/Users/oliviablizzard/Desktop/forest-tek/geo/watersheds.shp,,,,,,,,
